case_name,file_name,dwg_version,tdcreate_found,tdcreate,tdupdate_found,tdupdate,tdindwg_found,tdindwg_hours,ntfs_created,ntfs_modified,timeline_match,verdict,confidence,smoking_gun,backdating_detected,indicators
2022,A1.dwg,AC1032,No,N/A,No,N/A,Yes,0.0002,2026-01-30 14:52:20,2026-01-09 18:08:44,FAILED - TDCREATE/TDUPDATE stripped,SUSPICIOUS - Critical timestamps missing,85%,No,YES,TDCREATE and TDUPDATE timestamps MISSING but TDINDWG present - Strong indicator of timestamp manipulation
2022,E-1.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
2022,FDN detail.dwg,AC1027,No,N/A,No,N/A,Yes,0.0003,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - TDCREATE/TDUPDATE stripped,SUSPICIOUS - Critical timestamps missing,85%,No,YES,TDCREATE and TDUPDATE timestamps MISSING but TDINDWG present - Strong indicator of timestamp manipulation
2022,M-1.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
2022,P-1.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
2022,print file.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
2022,T-1.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
2022,TIT48.dwg,AC1032,No,N/A,No,N/A,No,N/A,2026-01-30 14:52:27,2026-01-09 18:08:51,FAILED - Complete timestamp absence,CRITICAL - All internal timestamps missing,95%,YES,No,ALL internal DWG timestamps missing - file structure compromised or deliberately stripped
