filename,file_path,file_size_mb,ntfs_created,ntfs_modified,sha256_hash,is_valid_ole2,revit_full_version,revit_version,revit_build,last_saved_timestamp,is_workshared,username,basic_file_info_size,timestamp_mismatch,version_anachronism,suspicious_indicators_count,suspicious_indicators,ole2_error
6075 English Oaks Lane.0024.rvt,"E:\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\Drawing Files\6075 English Oaks Lane.0024.rvt",93.12,2026-01-30T09:52:18.245584,2026-01-09T13:08:41,44bc78179adb32e5db5edb8f8dace44b2380fb7768cbea0f305662809086c90e,YES,Revit 2022 build 20210921_1515(x64),2022,20210921_1515(x64),,UNKNOWN,,2223,NO,NO,0,,
6075 English Oaks Lane.rvt,"E:\6075 English Oaks - Naples 2, 2021 Initial Permit\02-Drawings\Drawing Files\6075 English Oaks Lane.rvt",93.16,2026-01-30T09:52:18.618124,2026-01-09T13:08:42,733dc54d76a06389442c918735722401eb8c054cb2b1922396e609c0114854bf,YES,Revit 2022 build 20210224_1515(x64),2022,20210224_1515(x64),,UNKNOWN,,2267,NO,NO,0,,
